Variable,Description,Data Source,Response Level,N (%)
covid_masks,To what extent are you currently following the COVID-19 prevention practices listed below? - Wear a mask in public,Canadian Social Connection Survey,Very Closely,1785 (73.4)
covid_hand_washing,To what extent are you currently following the COVID-19 prevention practices listed below? - Wash your hands often,Canadian Social Connection Survey,Not at all,99 (4.1)
covid_hand_washing,To what extent are you currently following the COVID-19 prevention practices listed below? - Wash your hands often,Canadian Social Connection Survey,Somewhat,612 (25.3)
covid_hand_washing,To what extent are you currently following the COVID-19 prevention practices listed below? - Wash your hands often,Canadian Social Connection Survey,Very Closely,1711 (70.6)
covid_reduce_people,To what extent are you currently following the COVID-19 prevention practices listed below? - Reduce the number of people you interact with,Canadian Social Connection Survey,Not at all,184 (7.6)
covid_reduce_people,To what extent are you currently following the COVID-19 prevention practices listed below? - Reduce the number of people you interact with,Canadian Social Connection Survey,Somewhat,719 (29.6)
covid_reduce_people,To what extent are you currently following the COVID-19 prevention practices listed below? - Reduce the number of people you interact with,Canadian Social Connection Survey,Very Closely,1525 (62.8)
covid_avoid_trips,To what extent are you currently following the COVID-19 prevention practices listed below? - Avoid non-essential trips in the community,Canadian Social Connection Survey,Not at all,163 (6.7)
covid_avoid_trips,To what extent are you currently following the COVID-19 prevention practices listed below? - Avoid non-essential trips in the community,Canadian Social Connection Survey,Somewhat,738 (30.4)
covid_avoid_trips,To what extent are you currently following the COVID-19 prevention practices listed below? - Avoid non-essential trips in the community,Canadian Social Connection Survey,Very Closely,1529 (62.9)
covid_household,To what extent are you currently following the COVID-19 prevention practices listed below? - Socialize indoors only with people in your immediate household,Canadian Social Connection Survey,Not at all,192 (7.9)
covid_household,To what extent are you currently following the COVID-19 prevention practices listed below? - Socialize indoors only with people in your immediate household,Canadian Social Connection Survey,Somewhat,812 (33.4)
covid_household,To what extent are you currently following the COVID-19 prevention practices listed below? - Socialize indoors only with people in your immediate household,Canadian Social Connection Survey,Very Closely,1427 (58.7)
vaccinated,Have you received a COVID-19 Vaccine?,Canadian Social Connection Survey,No,494 (20.4)
vaccinated,Have you received a COVID-19 Vaccine?,Canadian Social Connection Survey,"Yes, one dose",1394 (57.6)
vaccinated,Have you received a COVID-19 Vaccine?,Canadian Social Connection Survey,"Yes, two doses",531 (22.0)
vaccinated_two_weeks_since_last_dose,Did you receive your last COVID-19 vaccine dose more than 2 weeks ago?,Canadian Social Connection Survey,8888: Not Vaccinated,523 (21.5)
vaccinated_two_weeks_since_last_dose,Did you receive your last COVID-19 vaccine dose more than 2 weeks ago?,Canadian Social Connection Survey,"No, it was in the last two weeks",372 (15.3)
vaccinated_two_weeks_since_last_dose,Did you receive your last COVID-19 vaccine dose more than 2 weeks ago?,Canadian Social Connection Survey,"Yes, it was more than two weeks ago.",1533 (63.1)
burnout_tired,"When you think about your life overall, how often do you feel the following? - Tired",Canadian Social Connection Survey,Almost never,227 (9.3)
burnout_tired,"When you think about your life overall, how often do you feel the following? - Tired",Canadian Social Connection Survey,Always,97 (4.0)
burnout_tired,"When you think about your life overall, how often do you feel the following? - Tired",Canadian Social Connection Survey,Never,146 (6.0)
burnout_tired,"When you think about your life overall, how often do you feel the following? - Tired",Canadian Social Connection Survey,Often,455 (18.6)
burnout_tired,"When you think about your life overall, how often do you feel the following? - Tired",Canadian Social Connection Survey,Rarely,504 (20.6)
burnout_tired,"When you think about your life overall, how often do you feel the following? - Tired",Canadian Social Connection Survey,Sometimes,798 (32.7)
burnout_tired,"When you think about your life overall, how often do you feel the following? - Tired",Canadian Social Connection Survey,Very Often,216 (8.8)
burnout_disappointed,"When you think about your life overall, how often do you feel the following? - Disappointed with people",Canadian Social Connection Survey,Almost never,304 (12.5)
burnout_disappointed,"When you think about your life overall, how often do you feel the following? - Disappointed with people",Canadian Social Connection Survey,Always,66 (2.7)
burnout_disappointed,"When you think about your life overall, how often do you feel the following? - Disappointed with people",Canadian Social Connection Survey,Never,132 (5.4)
burnout_disappointed,"When you think about your life overall, how often do you feel the following? - Disappointed with people",Canadian Social Connection Survey,Often,361 (14.8)
burnout_disappointed,"When you think about your life overall, how often do you feel the following? - Disappointed with people",Canadian Social Connection Survey,Rarely,606 (24.9)
burnout_disappointed,"When you think about your life overall, how often do you feel the following? - Disappointed with people",Canadian Social Connection Survey,Sometimes,770 (31.6)
burnout_disappointed,"When you think about your life overall, how often do you feel the following? - Disappointed with people",Canadian Social Connection Survey,Very Often,194 (8.0)
burnout_hopeless,"When you think about your life overall, how often do you feel the following? - Hopeless",Canadian Social Connection Survey,Almost never,468 (19.2)
burnout_hopeless,"When you think about your life overall, how often do you feel the following? - Hopeless",Canadian Social Connection Survey,Always,47 (1.9)
burnout_hopeless,"When you think about your life overall, how often do you feel the following? - Hopeless",Canadian Social Connection Survey,Never,347 (14.2)
burnout_hopeless,"When you think about your life overall, how often do you feel the following? - Hopeless",Canadian Social Connection Survey,Often,257 (10.6)
burnout_hopeless,"When you think about your life overall, how often do you feel the following? - Hopeless",Canadian Social Connection Survey,Rarely,591 (24.3)
burnout_hopeless,"When you think about your life overall, how often do you feel the following? - Hopeless",Canadian Social Connection Survey,Sometimes,620 (25.5)
burnout_hopeless,"When you think about your life overall, how often do you feel the following? - Hopeless",Canadian Social Connection Survey,Very Often,106 (4.4)
burnout_trapped,"When you think about your life overall, how often do you feel the following? - Trapped",Canadian Social Connection Survey,Almost never,439 (18.1)
burnout_trapped,"When you think about your life overall, how often do you feel the following? - Trapped",Canadian Social Connection Survey,Always,66 (2.7)
burnout_trapped,"When you think about your life overall, how often do you feel the following? - Trapped",Canadian Social Connection Survey,Never,361 (14.9)
burnout_trapped,"When you think about your life overall, how often do you feel the following? - Trapped",Canadian Social Connection Survey,Often,288 (11.9)
burnout_trapped,"When you think about your life overall, how often do you feel the following? - Trapped",Canadian Social Connection Survey,Rarely,535 (22.0)
burnout_trapped,"When you think about your life overall, how often do you feel the following? - Trapped",Canadian Social Connection Survey,Sometimes,612 (25.2)
burnout_trapped,"When you think about your life overall, how often do you feel the following? - Trapped",Canadian Social Connection Survey,Very Often,128 (5.3)
burnout_helpless,"When you think about your life overall, how often do you feel the following? - Helpless",Canadian Social Connection Survey,Almost never,386 (15.9)
burnout_helpless,"When you think about your life overall, how often do you feel the following? - Helpless",Canadian Social Connection Survey,Always,50 (2.1)
burnout_helpless,"When you think about your life overall, how often do you feel the following? - Helpless",Canadian Social Connection Survey,Never,380 (15.7)
burnout_helpless,"When you think about your life overall, how often do you feel the following? - Helpless",Canadian Social Connection Survey,Often,278 (11.5)
burnout_helpless,"When you think about your life overall, how often do you feel the following? - Helpless",Canadian Social Connection Survey,Rarely,562 (23.2)
burnout_helpless,"When you think about your life overall, how often do you feel the following? - Helpless",Canadian Social Connection Survey,Sometimes,638 (26.3)
burnout_helpless,"When you think about your life overall, how often do you feel the following? - Helpless",Canadian Social Connection Survey,Very Often,133 (5.5)
burnout_depressed,"When you think about your life overall, how often do you feel the following? - Depressed",Canadian Social Connection Survey,Almost never,338 (13.9)
burnout_depressed,"When you think about your life overall, how often do you feel the following? - Depressed",Canadian Social Connection Survey,Always,59 (2.4)
burnout_depressed,"When you think about your life overall, how often do you feel the following? - Depressed",Canadian Social Connection Survey,Never,255 (10.5)
burnout_depressed,"When you think about your life overall, how often do you feel the following? - Depressed",Canadian Social Connection Survey,Often,310 (12.7)
burnout_depressed,"When you think about your life overall, how often do you feel the following? - Depressed",Canadian Social Connection Survey,Rarely,585 (24.0)
burnout_depressed,"When you think about your life overall, how often do you feel the following? - Depressed",Canadian Social Connection Survey,Sometimes,754 (31.0)
burnout_depressed,"When you think about your life overall, how often do you feel the following? - Depressed",Canadian Social Connection Survey,Very Often,134 (5.5)
burnout_sick,"When you think about your life overall, how often do you feel the following? - Physically weak or sickly",Canadian Social Connection Survey,Almost never,463 (19.0)
burnout_sick,"When you think about your life overall, how often do you feel the following? - Physically weak or sickly",Canadian Social Connection Survey,Always,33 (1.4)
burnout_sick,"When you think about your life overall, how often do you feel the following? - Physically weak or sickly",Canadian Social Connection Survey,Never,296 (12.1)
burnout_sick,"When you think about your life overall, how often do you feel the following? - Physically weak or sickly",Canadian Social Connection Survey,Often,252 (10.3)
burnout_sick,"When you think about your life overall, how often do you feel the following? - Physically weak or sickly",Canadian Social Connection Survey,Rarely,668 (27.4)
burnout_sick,"When you think about your life overall, how often do you feel the following? - Physically weak or sickly",Canadian Social Connection Survey,Sometimes,654 (26.8)
burnout_sick,"When you think about your life overall, how often do you feel the following? - Physically weak or sickly",Canadian Social Connection Survey,Very Often,74 (3.0)
burnout_worthless,"When you think about your life overall, how often do you feel the following? - Worthless or like a failure",Canadian Social Connection Survey,Almost never,477 (19.6)
burnout_worthless,"When you think about your life overall, how often do you feel the following? - Worthless or like a failure",Canadian Social Connection Survey,Always,46 (1.9)
burnout_worthless,"When you think about your life overall, how often do you feel the following? - Worthless or like a failure",Canadian Social Connection Survey,Never,498 (20.4)
burnout_worthless,"When you think about your life overall, how often do you feel the following? - Worthless or like a failure",Canadian Social Connection Survey,Often,227 (9.3)
burnout_worthless,"When you think about your life overall, how often do you feel the following? - Worthless or like a failure",Canadian Social Connection Survey,Rarely,582 (23.9)
burnout_worthless,"When you think about your life overall, how often do you feel the following? - Worthless or like a failure",Canadian Social Connection Survey,Sometimes,511 (21.0)
burnout_worthless,"When you think about your life overall, how often do you feel the following? - Worthless or like a failure",Canadian Social Connection Survey,Very Often,97 (4.0)
burnout_difficulty_sleeping,"When you think about your life overall, how often do you feel the following? - Difficulties sleeping",Canadian Social Connection Survey,Almost never,363 (14.9)
burnout_difficulty_sleeping,"When you think about your life overall, how often do you feel the following? - Difficulties sleeping",Canadian Social Connection Survey,Always,90 (3.7)
burnout_difficulty_sleeping,"When you think about your life overall, how often do you feel the following? - Difficulties sleeping",Canadian Social Connection Survey,Never,221 (9.1)
burnout_difficulty_sleeping,"When you think about your life overall, how often do you feel the following? - Difficulties sleeping",Canadian Social Connection Survey,Often,367 (15.1)
burnout_difficulty_sleeping,"When you think about your life overall, how often do you feel the following? - Difficulties sleeping",Canadian Social Connection Survey,Rarely,531 (21.8)
burnout_difficulty_sleeping,"When you think about your life overall, how often do you feel the following? - Difficulties sleeping",Canadian Social Connection Survey,Sometimes,676 (27.8)
burnout_difficulty_sleeping,"When you think about your life overall, how often do you feel the following? - Difficulties sleeping",Canadian Social Connection Survey,Very Often,187 (7.7)
burnout_had_it,"When you think about your life overall, how often do you feel the following? -  Ive had it ù",Canadian Social Connection Survey,Almost never,335 (13.8)
burnout_had_it,"When you think about your life overall, how often do you feel the following? -  Ive had it ù",Canadian Social Connection Survey,Always,83 (3.4)
burnout_had_it,"When you think about your life overall, how often do you feel the following? -  Ive had it ù",Canadian Social Connection Survey,Never,315 (13.0)
burnout_had_it,"When you think about your life overall, how often do you feel the following? -  Ive had it ù",Canadian Social Connection Survey,Often,349 (14.4)
burnout_had_it,"When you think about your life overall, how often do you feel the following? -  Ive had it ù",Canadian Social Connection Survey,Rarely,501 (20.6)
burnout_had_it,"When you think about your life overall, how often do you feel the following? -  Ive had it ù",Canadian Social Connection Survey,Sometimes,675 (27.8)
burnout_had_it,"When you think about your life overall, how often do you feel the following? -  Ive had it ù",Canadian Social Connection Survey,Very Often,170 (7.0)
meaningful_interactions,How often do you have meaningful social interactions?,Canadian Social Connection Survey,Every day,433 (17.8)
meaningful_interactions,How often do you have meaningful social interactions?,Canadian Social Connection Survey,Many times a day,183 (7.5)
meaningful_interactions,How often do you have meaningful social interactions?,Canadian Social Connection Survey,Many times a week,505 (20.8)
meaningful_interactions,How often do you have meaningful social interactions?,Canadian Social Connection Survey,Never,42 (1.7)
meaningful_interactions,How often do you have meaningful social interactions?,Canadian Social Connection Survey,Once or twice a month,419 (17.2)
meaningful_interactions,How often do you have meaningful social interactions?,Canadian Social Connection Survey,Once or twice a week,753 (31.0)
meaningful_interactions,How often do you have meaningful social interactions?,Canadian Social Connection Survey,Once or twice a year,94 (3.9)
p3m_greeted_stranger,"In the PAST THREE MONTH, how often have you... -  greeted a stranger (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,A few times a month,529 (21.6)
p3m_greeted_stranger,"In the PAST THREE MONTH, how often have you... -  greeted a stranger (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,A few times a week,341 (13.9)
p3m_greeted_stranger,"In the PAST THREE MONTH, how often have you... -  greeted a stranger (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,Daily or almost daily,256 (10.5)
p3m_greeted_stranger,"In the PAST THREE MONTH, how often have you... -  greeted a stranger (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,Less than monthly,307 (12.6)
p3m_greeted_stranger,"In the PAST THREE MONTH, how often have you... -  greeted a stranger (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,Monthly,408 (16.7)
p3m_greeted_stranger,"In the PAST THREE MONTH, how often have you... -  greeted a stranger (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,Not in the past three months,228 (9.3)
p3m_greeted_stranger,"In the PAST THREE MONTH, how often have you... -  greeted a stranger (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,Weekly,377 (15.4)
p3m_greeted_neighbour,"In the PAST THREE MONTH, how often have you... -  greeted a neighbour or acquaintance (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,A few times a month,527 (21.6)
p3m_greeted_neighbour,"In the PAST THREE MONTH, how often have you... -  greeted a neighbour or acquaintance (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,A few times a week,388 (15.9)
p3m_greeted_neighbour,"In the PAST THREE MONTH, how often have you... -  greeted a neighbour or acquaintance (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,Daily or almost daily,414 (17.0)
p3m_greeted_neighbour,"In the PAST THREE MONTH, how often have you... -  greeted a neighbour or acquaintance (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,Less than monthly,236 (9.7)
p3m_greeted_neighbour,"In the PAST THREE MONTH, how often have you... -  greeted a neighbour or acquaintance (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,Monthly,349 (14.3)
p3m_greeted_neighbour,"In the PAST THREE MONTH, how often have you... -  greeted a neighbour or acquaintance (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,Not in the past three months,105 (4.3)
p3m_greeted_neighbour,"In the PAST THREE MONTH, how often have you... -  greeted a neighbour or acquaintance (e.g., by saying hello or good morning)?",Canadian Social Connection Survey,Weekly,418 (17.2)
p3m_talked_day,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their day was going?",Canadian Social Connection Survey,A few times a month,549 (22.6)
p3m_talked_day,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their day was going?",Canadian Social Connection Survey,A few times a week,395 (16.3)
p3m_talked_day,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their day was going?",Canadian Social Connection Survey,Daily or almost daily,334 (13.8)
p3m_talked_day,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their day was going?",Canadian Social Connection Survey,Less than monthly,255 (10.5)
p3m_talked_day,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their day was going?",Canadian Social Connection Survey,Monthly,337 (13.9)
p3m_talked_day,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their day was going?",Canadian Social Connection Survey,Not in the past three months,106 (4.4)
p3m_talked_day,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their day was going?",Canadian Social Connection Survey,Weekly,453 (18.6)
p3m_talked_family,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their family was?",Canadian Social Connection Survey,A few times a month,550 (22.7)
p3m_talked_family,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their family was?",Canadian Social Connection Survey,A few times a week,373 (15.4)
p3m_talked_family,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their family was?",Canadian Social Connection Survey,Daily or almost daily,214 (8.8)
p3m_talked_family,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their family was?",Canadian Social Connection Survey,Less than monthly,278 (11.5)
p3m_talked_family,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their family was?",Canadian Social Connection Survey,Monthly,376 (15.5)
p3m_talked_family,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their family was?",Canadian Social Connection Survey,Not in the past three months,128 (5.3)
p3m_talked_family,"In the PAST THREE MONTH, how often have you... -  talked to someone about how your / their family was?",Canadian Social Connection Survey,Weekly,502 (20.7)
p3m_talked_job,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their job?",Canadian Social Connection Survey,A few times a month,558 (23.0)
p3m_talked_job,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their job?",Canadian Social Connection Survey,A few times a week,328 (13.5)
p3m_talked_job,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their job?",Canadian Social Connection Survey,Daily or almost daily,206 (8.5)
p3m_talked_job,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their job?",Canadian Social Connection Survey,Less than monthly,300 (12.4)
p3m_talked_job,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their job?",Canadian Social Connection Survey,Monthly,374 (15.4)
p3m_talked_job,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their job?",Canadian Social Connection Survey,Not in the past three months,192 (7.9)
p3m_talked_job,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their job?",Canadian Social Connection Survey,Weekly,467 (19.3)
p3m_talked_hobbies,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their hobbies or interests?",Canadian Social Connection Survey,A few times a month,571 (23.5)
p3m_talked_hobbies,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their hobbies or interests?",Canadian Social Connection Survey,A few times a week,334 (13.7)
p3m_talked_hobbies,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their hobbies or interests?",Canadian Social Connection Survey,Daily or almost daily,170 (7.0)
p3m_talked_hobbies,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their hobbies or interests?",Canadian Social Connection Survey,Less than monthly,298 (12.2)
p3m_talked_hobbies,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their hobbies or interests?",Canadian Social Connection Survey,Monthly,437 (18.0)
p3m_talked_hobbies,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their hobbies or interests?",Canadian Social Connection Survey,Not in the past three months,155 (6.4)
p3m_talked_hobbies,"In the PAST THREE MONTH, how often have you... -  talked to someone about your / their hobbies or interests?",Canadian Social Connection Survey,Weekly,468 (19.2)
p3m_phone,"In the PAST THREE MONTH, how often have you... -  had a phone conversation with a friend or family member?",Canadian Social Connection Survey,A few times a month,510 (21.0)
p3m_phone,"In the PAST THREE MONTH, how often have you... -  had a phone conversation with a friend or family member?",Canadian Social Connection Survey,A few times a week,447 (18.4)
p3m_phone,"In the PAST THREE MONTH, how often have you... -  had a phone conversation with a friend or family member?",Canadian Social Connection Survey,Daily or almost daily,416 (17.1)
p3m_phone,"In the PAST THREE MONTH, how often have you... -  had a phone conversation with a friend or family member?",Canadian Social Connection Survey,Less than monthly,174 (7.2)
p3m_phone,"In the PAST THREE MONTH, how often have you... -  had a phone conversation with a friend or family member?",Canadian Social Connection Survey,Monthly,307 (12.7)
p3m_phone,"In the PAST THREE MONTH, how often have you... -  had a phone conversation with a friend or family member?",Canadian Social Connection Survey,Not in the past three months,86 (3.5)
p3m_phone,"In the PAST THREE MONTH, how often have you... -  had a phone conversation with a friend or family member?",Canadian Social Connection Survey,Weekly,486 (20.0)
p3m_letter_or_email,"In the PAST THREE MONTH, how often have you... -  wrote a letter or personal email to a friend or family member?",Canadian Social Connection Survey,A few times a month,552 (22.7)
p3m_letter_or_email,"In the PAST THREE MONTH, how often have you... -  wrote a letter or personal email to a friend or family member?",Canadian Social Connection Survey,A few times a week,263 (10.8)
p3m_letter_or_email,"In the PAST THREE MONTH, how often have you... -  wrote a letter or personal email to a friend or family member?",Canadian Social Connection Survey,Daily or almost daily,148 (6.1)
p3m_letter_or_email,"In the PAST THREE MONTH, how often have you... -  wrote a letter or personal email to a friend or family member?",Canadian Social Connection Survey,Less than monthly,321 (13.2)
p3m_letter_or_email,"In the PAST THREE MONTH, how often have you... -  wrote a letter or personal email to a friend or family member?",Canadian Social Connection Survey,Monthly,419 (17.2)
p3m_letter_or_email,"In the PAST THREE MONTH, how often have you... -  wrote a letter or personal email to a friend or family member?",Canadian Social Connection Survey,Not in the past three months,344 (14.2)
p3m_letter_or_email,"In the PAST THREE MONTH, how often have you... -  wrote a letter or personal email to a friend or family member?",Canadian Social Connection Survey,Weekly,383 (15.8)
p3m_checked_in,"In the PAST THREE MONTH, how often have you... -  sent a text/private message to someone just to check in?",Canadian Social Connection Survey,A few times a month,527 (21.7)
p3m_checked_in,"In the PAST THREE MONTH, how often have you... -  sent a text/private message to someone just to check in?",Canadian Social Connection Survey,A few times a week,343 (14.1)
p3m_checked_in,"In the PAST THREE MONTH, how often have you... -  sent a text/private message to someone just to check in?",Canadian Social Connection Survey,Daily or almost daily,258 (10.6)
p3m_checked_in,"In the PAST THREE MONTH, how often have you... -  sent a text/private message to someone just to check in?",Canadian Social Connection Survey,Less than monthly,279 (11.5)
